#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
59,Bangalore Sout,26,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,2341759,1249342,53.4 %,277083.0,22.2%
60,Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,1836374,1493108,81.3 %,73693.0,4.9%
61,Banka,27,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),1856566,1014155,54.6 %,103844.0,10.2%
62,Bankura,36,GEN,West Bengal,Arup Chakraborty,All India Trinamool Congress,1780580,1447674,81.3 %,32778.0,2.3%
63,Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1820854,944763,51.9 %,3150.0,0.3%
64,Banswara,20,ST,Rajasthan,Raj Kumar Roat,Bharat Adivasi Party,2200438,1636852,74.4 %,247054.0,15.1%
65,Bapatla,15,SC,Andhra Pradesh [2014 Onwards],Krishna Prasad Tenneti,Telugu Desam,1506354,1300745,86.4 %,208031.0,16.0%
66,Barabanki,53,SC,Uttar Pradesh [2000 Onwards],Tanuj Punia,Indian National Congress,1918491,1290634,67.3 %,215704.0,16.7%
67,Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party – Sharadchandra Pawar,2372668,1412349,59.5 %,158333.0,11.2%
68,Baramulla,1,,Jammu & Kashmir,Abdul Rashid Sheikh,Independent,1737865,1033900,59.5 %,204142.0,19.7%
69,Barasat,17,GEN,West Bengal,Kakoli Ghosh Dastidar,All India Trinamool Congress,1905400,1532601,80.4 %,114189.0,7.5%
70,Bardhaman Purb,38,SC,West Bengal,Dr. Sharmila Sarkar,All India Trinamool Congress,1801333,1497310,83.1 %,160572.0,10.7%
71,Bardoli,23,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,2048408,1339333,65.4 %,230253.0,17.2%
72,Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Chhatra Pal Singh Gangwar,Bharatiya Janta Party,1924434,1119558,58.2 %,34804.0,3.1%
73,Bargarh,1,GEN,Orissa,Pradeep Purohit,Bharatiya Janta Party,1631974,1309864,80.3 %,251667.0,19.2%
74,Barmer,17,GEN,Rajasthan,Ummeda Ram Beniwal,Indian National Congress,2206237,1688051,76.5 %,118176.0,7.0%
75,Barpeta,3,GEN,Assam,Phani Bhusan Choudhury,Asom Gana Parishad,1966847,1685943,85.7 %,222351.0,13.2%
76,Barrackpore,15,GEN,West Bengal,Partha Bhowmick,All India Trinamool Congress,1508728,1141860,75.7 %,64438.0,5.6%
77,Basirhat,18,GEN,West Bengal,Sk Nurul Islam,All India Trinamool Congress,1804261,1523401,84.4 %,333547.0,21.9%
78,Bastar,10,ST,Chhattisgarh,Mahesh Kashyap,Bharatiya Janta Party,1472207,1007395,68.4 %,55245.0,5.5%
79,Basti,61,GEN,Uttar Pradesh [2000 Onwards],Ram Prasad Chaudhary,Samajwadi Party,1902898,1082870,56.9 %,100994.0,9.3%
80,Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1651188,1151170,69.7 %,49656.0,4.3%
81,Beed,39,GEN,Maharashtra,Bajrang Manohar Sonwane,Nationalist Congress Party – Sharadchandra Pawar,2142547,1522295,71.1 %,6553.0,0.4%
82,Begusarai,24,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,2196089,1294673,59.0 %,81480.0,6.3%
83,Belgaum,2,GEN,Karnataka,Jagadish Shettar,Bharatiya Janta Party,1923788,1383889,71.9 %,178437.0,12.9%
84,Bellary,9,ST,Karnataka,E. Tukaram,Indian National Congress,1884040,1389914,73.8 %,98992.0,7.1%
85,Berhampur,20,GEN,Orissa,Dr. Pradeep Kumar Panigrahy,Bharatiya Janta Party,1591380,1042923,65.5 %,165476.0,15.9%
86,Betul,29,ST,Madhya Pradesh [2000 Onwards],Durgadas (D. D.) UIKEY,Bharatiya Janta Party,1895331,1396020,73.7 %,379761.0,27.2%
87,Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Dr. Vinod Kumar Bind,Bharatiya Janta Party,2037925,1084993,53.2 %,44072.0,4.1%
88,Bhadrak,7,SC,Orissa,Avimanyu Sethi,Bharatiya Janta Party,1770915,1297377,73.3 %,91544.0,7.1%
89,Bhagalpur,26,GEN,Bihar [2000 Onwards],Ajay Kumar Mandal,Janata Dal (United),1983031,1064081,53.7 %,104868.0,9.9%
90,Bhandara - Gon,11,GEN,Maharashtra,Dr. Prashant Yadaorao Padole,Indian National Congress,1827188,1235073,67.6 %,37380.0,3.0%
91,Bharatpur,9,SC,Rajasthan,Sanjna Jatav,Indian National Congress,2114916,1133000,53.6 %,51983.0,4.6%
92,Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1723353,1198964,69.6 %,85696.0,7.1%
93,Bhavnagar,15,GEN,Gujarat,Nimuben Jayantibhai Bambhaniya (NIMUBEN BAMBHANIYA),Bharatiya Janta Party,1916900,1047232,54.6 %,455289.0,43.5%
94,Bhilwara,23,GEN,Rajasthan,Damodar Agarwal,Bharatiya Janta Party,2147159,1304395,60.8 %,354606.0,27.2%
95,Bhind,2,SC,Madhya Pradesh [2000 Onwards],Sandhya Ray,Bharatiya Janta Party,1900654,1049007,55.2 %,64840.0,6.2%
96,Bhiwandi,23,GEN,Maharashtra,Balya Mama - Suresh Gopinath Mhatre,Nationalist Congress Party – Sharadchandra Pawar,2087244,1253399,60.1 %,66121.0,5.3%
97,Bhiwani-Mahend,8,GEN,Haryana,Dharambir Singh,Bharatiya Janta Party,1793029,1183395,66.0 %,41510.0,3.5%
98,Bhongir,14,GEN,Telangana,Chamala Kiran Kumar Reddy,Indian National Congress,1808585,1401396,77.5 %,222170.0,15.9%
99,Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Alok Sharma,Bharatiya Janta Party,2339411,1498285,64.1 %,501499.0,33.5%
100,Bhubaneswar,18,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,1672774,1082215,64.7 %,35152.0,3.2%
101,Bidar,7,GEN,Karnataka,Sagar Eshwar Khandre,Indian National Congress,1892962,1242322,65.6 %,128875.0,10.4%
102,Bijapur,4,SC,Karnataka,Ramesh Jigajinagi,Bharatiya Janta Party,1946090,1296114,66.6 %,77229.0,6.0%
103,Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Chandan Chauhan,Rashtriya Lok Dal,1738307,1024432,58.9 %,37508.0,3.7%
104,Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,2048399,1118282,54.6 %,55711.0,5.0%
105,Bilaspur,5,GEN,Chhattisgarh,Tokhan Sahu,Bharatiya Janta Party,2102687,1361350,64.7 %,164558.0,12.1%
106,Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1857022,1527432,82.3 %,197650.0,12.9%
107,Bishnupur,37,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,1754268,1513872,86.3 %,5567.0,0.4%
108,Bolangir,10,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1801744,1400248,77.7 %,132664.0,9.5%
109,Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1839234,1528470,83.1 %,327253.0,21.4%
110,Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Dr Bhola Singh,Bharatiya Janta Party,1859462,1054399,56.7 %,275134.0,26.1%
111,Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1782700,1109496,62.2 %,29479.0,2.7%
112,Burdwan - Durg,39,GEN,West Bengal,Azad Kirti Jha,All India Trinamool Congress,1851780,1501773,81.1 %,137981.0,9.2%
113,Buxar,33,GEN,Bihar [2000 Onwards],Sudhakar Singh,Rashtriya Janata Dal,1923164,1073759,55.8 %,30091.0,2.8%
114,Chalakudy,11,GEN,Kerala,Benny Behanan,Indian National Congress,1310529,951287,72.6 %,63754.0,6.7%
115,Chamarajanagar,22,SC,Karnataka,Sunil Bose,Indian National Congress,1778310,1369797,77.0 %,188706.0,13.8%
116,Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Birendra Singh,Samajwadi Party,1843196,1116499,60.6 %,21565.0,1.9%
117,Chandigarh,1,GEN,Chandigarh,Manish Tewari,Indian National Congress,659805,449275,68.1 %,2504.0,0.6%
118,Chandni Chowk,1,GEN,Delhi [1977 Onwards],Praveen Khandelwal,Bharatiya Janta Party,1645958,966102,58.7 %,89325.0,9.2%
119,Chandrapur,13,GEN,Maharashtra,Dhanorkar Pratibha Suresh Alias Balubhau,Indian National Congress,1837906,1241304,67.5 %,260406.0,21.0%
120,Chatra,4,GEN,Jharkhand,Kali Charan Singh,Bharatiya Janta Party,1689926,1086374,64.3 %,220959.0,20.3%
121,Chelvella,10,GEN,Telangana,Konda Vishweshwar Reddy,Bharatiya Janta Party,2938370,1675354,57.0 %,172897.0,10.3%
122,Chennai Centra,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munnetra Kazhagam,1350161,730549,54.1 %,244689.0,33.5%
123,Chennai North,2,GEN,Tamil Nadu,Dr.Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,1496224,902489,60.3 %,339222.0,37.6%
124,Chennai South,3,GEN,Tamil Nadu,T.Sumathy (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,2023133,1099321,54.3 %,225945.0,20.6%
125,Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Bunty Vivek Sahu,Bharatiya Janta Party,1632190,1304827,79.9 %,113618.0,8.7%
126,Chhota Udaipur,21,ST,Gujarat,Jashubhai Bhilubhai Rathva,Bharatiya Janta Party,1821708,1267719,69.6 %,398777.0,31.5%
127,Chidambaram,27,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1519847,1167071,76.8 %,103554.0,8.9%
128,Chikkballapur,27,GEN,Karnataka,Dr.K.Sudhakar,Bharatiya Janta Party,1981347,1530820,77.3 %,163460.0,10.7%
129,Chikkodi,1,GEN,Karnataka,Priyanka Satish Jarkiholi,Indian National Congress,1761694,1393093,79.1 %,90834.0,6.5%
130,Chitradurga,18,SC,Karnataka,Govind Makthappa Karjol,Bharatiya Janta Party,1856876,1366909,73.6 %,48121.0,3.5%
131,Chittoor,25,SC,Andhra Pradesh [2014 Onwards],Daggumalla Prasada Rao,Telugu Desam,1640202,1418857,86.5 %,220479.0,15.5%
132,Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,2170167,1498733,69.1 %,389877.0,26.0%
133,Churu,3,GEN,Rajasthan,Rahul Kaswan,Indian National Congress,2213187,1424645,64.4 %,72737.0,5.1%
134,Coimbatore,20,GEN,Tamil Nadu,Ganapathy Rajkumar P,Dravida Munnetra Kazhagam,2106124,1372833,65.2 %,118068.0,8.6%
135,Cooch Behar,1,SC,West Bengal,Jagadish Chandra Barma Basunia,All India Trinamool Congress,1966893,1623048,82.5 %,39250.0,2.4%
136,Cuddalore,26,GEN,Tamil Nadu,M.K. Vishnuprasad,Indian National Congress,1412746,1031563,73.0 %,185896.0,18.0%
137,Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Bharatiya Janta Party,1571622,1120795,71.3 %,57077.0,5.1%
138,Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Kalaben Mohanbhai,Bharatiya Janta Party,283024,205588,72.6 %,57584.0,28.0%
139,Dahod,19,ST,Gujarat,Jaswantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1875136,1118294,59.6 %,333677.0,29.8%
140,Dakshina Kanna,17,GEN,Karnataka,Captain Brijesh Chowta,Bharatiya Janta Party,1817603,1415770,77.9 %,149208.0,10.5%
141,Daman And Diu,1,GEN,Daman & Diu,Patel Umeshbhai Babubhai,Independent,134189,92410,68.9 %,6225.0,6.7%
142,Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Rahul Singh Lodhi,Bharatiya Janta Party,1925314,1088944,56.6 %,406426.0,37.3%
143,Darbhanga,14,GEN,Bihar [2000 Onwards],Gopal Jee Thakur,Bharatiya Janta Party,1781356,1024184,57.5 %,178156.0,17.4%
144,Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1765744,1327412,75.2 %,178525.0,13.4%
145,Darrang-Udalguri,4,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,2209314,1811200,82.0 %,329012.0,18.2%
146,Dausa,11,ST,Rajasthan,Murari Lal Meena,Indian National Congress,1899304,1072734,56.5 %,237340.0,22.1%
147,Davanagere,13,GEN,Karnataka,Dr. Prabha Mallikarjun,Indian National Congress,1709244,1320368,77.3 %,26094.0,2.0%
148,Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Shashank Mani,Bharatiya Janta Party,1873821,1043308,55.7 %,34842.0,3.3%
149,Dewas,21,SC,Madhya Pradesh [2000 Onwards],Mahendra Singh Solanky,Bharatiya Janta Party,1940472,1469104,75.7 %,425225.0,28.9%
150,Dhanbad,7,GEN,Jharkhand,Dulu Mahato,Bharatiya Janta Party,2285237,1428007,62.5 %,331583.0,23.2%
151,Dhar,25,ST,Madhya Pradesh [2000 Onwards],Savitri Thakur,Bharatiya Janta Party,1953834,1425044,72.9 %,218665.0,15.3%
152,Dharmapuri,10,GEN,Tamil Nadu,Mani. A.,Dravida Munnetra Kazhagam,1524896,1247832,81.8 %,21300.0,1.7%
153,Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1831975,1366491,74.6 %,97324.0,7.1%
154,Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Anand Bhadauriya,Samajwadi Party,1719345,1111847,64.7 %,4449.0,0.4%
155,Dhenkanal,9,GEN,Orissa,Rudra Narayan Pany,Bharatiya Janta Party,1529785,1191673,77.9 %,76567.0,6.4%
156,Dhubri,2,GEN,Assam,Rakibul Hussain,Indian National Congress,2660827,2453608,92.2 %,1012476.0,41.3%
157,Dhule,2,GEN,Maharashtra,Bachhav Shobha Dinesh,Indian National Congress,2022061,1219295,60.3 %,3831.0,0.3%
158,Diamond Harbou,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1880779,1530817,81.4 %,710930.0,46.4%
159,Dibrugarh,13,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,1659588,1278322,77.0 %,279321.0,21.9%
160,Dindigul,22,GEN,Tamil Nadu,Sachithanantham R,Communist Party Of India (Marxist),1607051,1149621,71.5 %,443821.0,38.6%
161,Dindori,20,ST,Maharashtra,Bhaskar Murlidhar Bhagare,Nationalist Congress Party – Sharadchandra Pawar,1853387,1240910,67.0 %,113199.0,9.1%
162,Diphu,6,ST,Assam,Amarsing Tisso,Bharatiya Janta Party,901032,682827,75.8 %,147603.0,21.6%
163,Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,1961845,1018965,51.9 %,42728.0,4.2%
164,Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1699656,1260046,74.1 %,70660.0,5.6%
165,Dumka,2,ST,Jharkhand,Nalin Soren,Jharkhand Mukti Morcha,1591061,1184132,74.4 %,22527.0,1.9%
166,Durg,7,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,2090414,1542787,73.8 %,438226.0,28.4%
167,East Delhi,3,GEN,Delhi [1977 Onwards],Harsh Malhotra,Bharatiya Janta Party,2120584,1264049,59.6 %,93663.0,7.4%
168,Eluru,10,,Andhra Pradesh [2014 Onwards],Putta Mahesh Kumar,Telugu Desam,1637430,1382049,84.4 %,181857.0,13.2%
169,Ernakulam,12,GEN,Kerala,Hibi Eden,Indian National Congress,1324047,910502,68.8 %,250385.0,27.5%
170,Erode,17,GEN,Tamil Nadu,K E Prakash,Dravida Munnetra Kazhagam,1538778,1093423,71.1 %,236566.0,21.6%
171,Etah,22,GEN,Uttar Pradesh [2000 Onwards],Devesh Shakya,Samajwadi Party,1700524,1010381,59.4 %,28052.0,2.8%
172,Etawah,41,SC,Uttar Pradesh [2000 Onwards],Jitendra Kumar Dohare,Samajwadi Party,1828498,1033784,56.5 %,58419.0,5.7%
173,Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Awadhesh Prasad,Samajwadi Party,1927459,1140661,59.2 %,54567.0,4.8%
174,Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,2430212,1471322,60.5 %,172914.0,11.8%
175,Faridkot,9,SC,Punjab,Sarabjeet Singh Khalsa,Independent,1594033,1014455,63.6 %,70053.0,6.9%
176,Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,1747182,1033794,59.2 %,2678.0,0.3%
177,Fatehgarh Sahi,8,SC,Punjab,Amar Singh,Indian National Congress,1552567,974256,62.8 %,34202.0,3.5%
178,Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Naresh Chandra Uttam Patel,Samajwadi Party,1938563,1106944,57.1 %,33199.0,3.0%
179,Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Rajkumar Chahar,Bharatiya Janta Party,1798823,1034155,57.5 %,43405.0,4.2%
180,Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Indian National Congress,1670008,1125115,67.4 %,3242.0,0.3%
181,Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akshaya Yadav,Samajwadi Party,1890772,1107296,58.6 %,89312.0,8.1%
182,Gadchiroli-Chi,12,ST,Maharashtra,Dr. Kirsan Namdeo,Indian National Congress,1617207,1166360,72.1 %,141696.0,12.1%
183,Gandhinagar,6,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,2182736,1321802,60.6 %,744716.0,56.3%
184,Ganganagar,1,SC,Rajasthan,Kuldeep Indora,Indian National Congress,2102002,1413494,67.3 %,88153.0,6.2%
185,Garhwal,2,GEN,Uttarakhand,Anil Baluni,Bharatiya Janta Party,1369388,737431,53.9 %,163503.0,22.2%
186,Gautam Buddha Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahesh Sharma,Bharatiya Janta Party,2675148,1437244,53.7 %,559472.0,38.9%
187,Gaya,38,SC,Bihar [2000 Onwards],Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),1816815,963676,53.0 %,101812.0,10.6%
188,Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1939945,1600556,82.5 %,182868.0,11.4%
189,Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Atul Garg,Bharatiya Janta Party,2945487,1470430,49.9 %,336965.0,22.9%
